"","FIPS","Year","State","ST","FIPS.State","County","Population","Deaths"
"1",1001,1999,"Alabama","AL",1,"Autauga County, AL",42963,3.05
"2",1001,2000,"Alabama","AL",1,"Autauga County, AL",44021,5.05
"3",1001,2001,"Alabama","AL",1,"Autauga County, AL",44889,5.05
"4",1001,2002,"Alabama","AL",1,"Autauga County, AL",45909,5.05
"5",1001,2003,"Alabama","AL",1,"Autauga County, AL",46800,5.05
"6",1001,2004,"Alabama","AL",1,"Autauga County, AL",48366,5.05
"7",1001,2005,"Alabama","AL",1,"Autauga County, AL",49676,5.05
"8",1001,2006,"Alabama","AL",1,"Autauga County, AL",51328,7.05
"9",1001,2007,"Alabama","AL",1,"Autauga County, AL",52405,7.05
"10",1001,2008,"Alabama","AL",1,"Autauga County, AL",53277,7.05
"11",1001,2009,"Alabama","AL",1,"Autauga County, AL",54135,7.05
"12",1001,2010,"Alabama","AL",1,"Autauga County, AL",54684,9.05
"13",1001,2011,"Alabama","AL",1,"Autauga County, AL",55275,9.05
"14",1001,2012,"Alabama","AL",1,"Autauga County, AL",55192,9.05
"15",1001,2013,"Alabama","AL",1,"Autauga County, AL",55136,11.05
"16",1001,2014,"Alabama","AL",1,"Autauga County, AL",55395,11.05
"17",1003,1999,"Alabama","AL",1,"Baldwin County, AL",137555,7.05
"18",1003,2000,"Alabama","AL",1,"Baldwin County, AL",141342,9.05
"19",1003,2001,"Alabama","AL",1,"Baldwin County, AL",144875,9.05
"20",1003,2002,"Alabama","AL",1,"Baldwin County, AL",147957,9.05
"21",1003,2003,"Alabama","AL",1,"Baldwin County, AL",151509,9.05
"22",1003,2004,"Alabama","AL",1,"Baldwin County, AL",156266,11.05
"23",1003,2005,"Alabama","AL",1,"Baldwin County, AL",162183,11.05
"24",1003,2006,"Alabama","AL",1,"Baldwin County, AL",168121,11.05
"25",1003,2007,"Alabama","AL",1,"Baldwin County, AL",172404,13.05
"26",1003,2008,"Alabama","AL",1,"Baldwin County, AL",175827,13.05
"27",1003,2009,"Alabama","AL",1,"Baldwin County, AL",179406,15.05
"28",1003,2010,"Alabama","AL",1,"Baldwin County, AL",183216,15.05
"29",1003,2011,"Alabama","AL",1,"Baldwin County, AL",186694,17.05
"30",1003,2012,"Alabama","AL",1,"Baldwin County, AL",190561,17.05
"31",1003,2013,"Alabama","AL",1,"Baldwin County, AL",195443,19.05
"32",1003,2014,"Alabama","AL",1,"Baldwin County, AL",200111,19.05
"33",1005,1999,"Alabama","AL",1,"Barbour County, AL",28866,1
"34",1005,2000,"Alabama","AL",1,"Barbour County, AL",29015,1
"35",1005,2001,"Alabama","AL",1,"Barbour County, AL",28863,1
"36",1005,2002,"Alabama","AL",1,"Barbour County, AL",28653,3.05
"37",1005,2003,"Alabama","AL",1,"Barbour County, AL",28594,3.05
"38",1005,2004,"Alabama","AL",1,"Barbour County, AL",28287,3.05
"39",1005,2005,"Alabama","AL",1,"Barbour County, AL",28027,3.05
"40",1005,2006,"Alabama","AL",1,"Barbour County, AL",27861,3.05
"41",1005,2007,"Alabama","AL",1,"Barbour County, AL",27757,3.05
"42",1005,2008,"Alabama","AL",1,"Barbour County, AL",27808,3.05
"43",1005,2009,"Alabama","AL",1,"Barbour County, AL",27657,5.05
"44",1005,2010,"Alabama","AL",1,"Barbour County, AL",27336,5.05
"45",1005,2011,"Alabama","AL",1,"Barbour County, AL",27225,5.05
"46",1005,2012,"Alabama","AL",1,"Barbour County, AL",27169,5.05
"47",1005,2013,"Alabama","AL",1,"Barbour County, AL",26978,7.05
"48",1005,2014,"Alabama","AL",1,"Barbour County, AL",26887,7.05
"49",1007,1999,"Alabama","AL",1,"Bibb County, AL",20560,3.05
"50",1007,2000,"Alabama","AL",1,"Bibb County, AL",19913,3.05
"51",1007,2001,"Alabama","AL",1,"Bibb County, AL",21028,3.05
"52",1007,2002,"Alabama","AL",1,"Bibb County, AL",21199,5.05
"53",1007,2003,"Alabama","AL",1,"Bibb County, AL",21399,5.05
"54",1007,2004,"Alabama","AL",1,"Bibb County, AL",21721,5.05
"55",1007,2005,"Alabama","AL",1,"Bibb County, AL",22042,7.05
"56",1007,2006,"Alabama","AL",1,"Bibb County, AL",22099,7.05
"57",1007,2007,"Alabama","AL",1,"Bibb County, AL",22438,7.05
"58",1007,2008,"Alabama","AL",1,"Bibb County, AL",22705,9.05
"59",1007,2009,"Alabama","AL",1,"Bibb County, AL",22941,9.05
"60",1007,2010,"Alabama","AL",1,"Bibb County, AL",22879,11.05
"61",1007,2011,"Alabama","AL",1,"Bibb County, AL",22740,11.05
"62",1007,2012,"Alabama","AL",1,"Bibb County, AL",22634,13.05
"63",1007,2013,"Alabama","AL",1,"Bibb County, AL",22504,13.05
"64",1007,2014,"Alabama","AL",1,"Bibb County, AL",22506,15.05
"65",1009,1999,"Alabama","AL",1,"Blount County, AL",50237,5.05
"66",1009,2000,"Alabama","AL",1,"Blount County, AL",51107,5.05
"67",1009,2001,"Alabama","AL",1,"Blount County, AL",51845,7.05
"68",1009,2002,"Alabama","AL",1,"Blount County, AL",52551,7.05
"69",1009,2003,"Alabama","AL",1,"Blount County, AL",53457,7.05
"70",1009,2004,"Alabama","AL",1,"Blount County, AL",54124,7.05
"71",1009,2005,"Alabama","AL",1,"Blount County, AL",54624,9.05
"72",1009,2006,"Alabama","AL",1,"Blount County, AL",55485,9.05
"73",1009,2007,"Alabama","AL",1,"Blount County, AL",56240,9.05
"74",1009,2008,"Alabama","AL",1,"Blount County, AL",57055,11.05
"75",1009,2009,"Alabama","AL",1,"Blount County, AL",57341,11.05
"76",1009,2010,"Alabama","AL",1,"Blount County, AL",57344,11.05
"77",1009,2011,"Alabama","AL",1,"Blount County, AL",57694,13.05
"78",1009,2012,"Alabama","AL",1,"Blount County, AL",57748,13.05
"79",1009,2013,"Alabama","AL",1,"Blount County, AL",57720,15.05
"80",1009,2014,"Alabama","AL",1,"Blount County, AL",57719,15.05
"81",1011,1999,"Alabama","AL",1,"Bullock County, AL",11755,1
"82",1011,2000,"Alabama","AL",1,"Bullock County, AL",11581,1
"83",1011,2001,"Alabama","AL",1,"Bullock County, AL",11358,1
"84",1011,2002,"Alabama","AL",1,"Bullock County, AL",11256,1
"85",1011,2003,"Alabama","AL",1,"Bullock County, AL",11316,1
"86",1011,2004,"Alabama","AL",1,"Bullock County, AL",11056,3.05
"87",1011,2005,"Alabama","AL",1,"Bullock County, AL",11011,3.05
"88",1011,2006,"Alabama","AL",1,"Bullock County, AL",10776,3.05
"89",1011,2007,"Alabama","AL",1,"Bullock County, AL",11011,3.05
"90",1011,2008,"Alabama","AL",1,"Bullock County, AL",10953,3.05
"91",1011,2009,"Alabama","AL",1,"Bullock County, AL",10987,5.05
"92",1011,2010,"Alabama","AL",1,"Bullock County, AL",10886,5.05
"93",1011,2011,"Alabama","AL",1,"Bullock County, AL",10623,5.05
"94",1011,2012,"Alabama","AL",1,"Bullock County, AL",10589,7.05
"95",1011,2013,"Alabama","AL",1,"Bullock County, AL",10605,7.05
"96",1011,2014,"Alabama","AL",1,"Bullock County, AL",10764,9.05
"97",1013,1999,"Alabama","AL",1,"Butler County, AL",21605,1
"98",1013,2000,"Alabama","AL",1,"Butler County, AL",21325,3.05
"99",1013,2001,"Alabama","AL",1,"Butler County, AL",21139,3.05
"100",1013,2002,"Alabama","AL",1,"Butler County, AL",20803,3.05
"101",1013,2003,"Alabama","AL",1,"Butler County, AL",20833,3.05
"102",1013,2004,"Alabama","AL",1,"Butler County, AL",20870,3.05
"103",1013,2005,"Alabama","AL",1,"Butler County, AL",20830,3.05
"104",1013,2006,"Alabama","AL",1,"Butler County, AL",20815,5.05
"105",1013,2007,"Alabama","AL",1,"Butler County, AL",20894,5.05
"106",1013,2008,"Alabama","AL",1,"Butler County, AL",20949,5.05
"107",1013,2009,"Alabama","AL",1,"Butler County, AL",20867,5.05
"108",1013,2010,"Alabama","AL",1,"Butler County, AL",20945,7.05
"109",1013,2011,"Alabama","AL",1,"Butler County, AL",20676,7.05
"110",1013,2012,"Alabama","AL",1,"Butler County, AL",20409,7.05
"111",1013,2013,"Alabama","AL",1,"Butler County, AL",20289,9.05
"112",1013,2014,"Alabama","AL",1,"Butler County, AL",20296,9.05
"113",1015,1999,"Alabama","AL",1,"Calhoun County, AL",114910,5.05
"114",1015,2000,"Alabama","AL",1,"Calhoun County, AL",111081,5.05
"115",1015,2001,"Alabama","AL",1,"Calhoun County, AL",111266,5.05
"116",1015,2002,"Alabama","AL",1,"Calhoun County, AL",111625,5.05
"117",1015,2003,"Alabama","AL",1,"Calhoun County, AL",112705,5.05
