FIPS,Year,State,ST,FIPS State,County,Population,"Estimated Age-adjusted Death Rate, 11 Categories (in ranges)"
1001,1999,Alabama,AL,1,"Autauga County, AL",42963,2.1-4
1001,2000,Alabama,AL,1,"Autauga County, AL",44021,4.1-6
1001,2001,Alabama,AL,1,"Autauga County, AL",44889,4.1-6
1001,2002,Alabama,AL,1,"Autauga County, AL",45909,4.1-6
1001,2003,Alabama,AL,1,"Autauga County, AL",46800,4.1-6
1001,2004,Alabama,AL,1,"Autauga County, AL",48366,4.1-6
1001,2005,Alabama,AL,1,"Autauga County, AL",49676,4.1-6
1001,2006,Alabama,AL,1,"Autauga County, AL",51328,6.1-8
1001,2007,Alabama,AL,1,"Autauga County, AL",52405,6.1-8
1001,2008,Alabama,AL,1,"Autauga County, AL",53277,6.1-8
1001,2009,Alabama,AL,1,"Autauga County, AL",54135,6.1-8
1001,2010,Alabama,AL,1,"Autauga County, AL",54684,8.1-10
1001,2011,Alabama,AL,1,"Autauga County, AL",55275,8.1-10
1001,2012,Alabama,AL,1,"Autauga County, AL",55192,8.1-10
1001,2013,Alabama,AL,1,"Autauga County, AL",55136,10.1-12
1001,2014,Alabama,AL,1,"Autauga County, AL",55395,10.1-12
1003,1999,Alabama,AL,1,"Baldwin County, AL",137555,6.1-8
1003,2000,Alabama,AL,1,"Baldwin County, AL",141342,8.1-10
1003,2001,Alabama,AL,1,"Baldwin County, AL",144875,8.1-10
1003,2002,Alabama,AL,1,"Baldwin County, AL",147957,8.1-10
1003,2003,Alabama,AL,1,"Baldwin County, AL",151509,8.1-10
1003,2004,Alabama,AL,1,"Baldwin County, AL",156266,10.1-12
1003,2005,Alabama,AL,1,"Baldwin County, AL",162183,10.1-12
1003,2006,Alabama,AL,1,"Baldwin County, AL",168121,10.1-12
1003,2007,Alabama,AL,1,"Baldwin County, AL",172404,12.1-14
1003,2008,Alabama,AL,1,"Baldwin County, AL",175827,12.1-14
1003,2009,Alabama,AL,1,"Baldwin County, AL",179406,14.1-16
1003,2010,Alabama,AL,1,"Baldwin County, AL",183216,14.1-16
1003,2011,Alabama,AL,1,"Baldwin County, AL",186694,16.1-18
1003,2012,Alabama,AL,1,"Baldwin County, AL",190561,16.1-18
1003,2013,Alabama,AL,1,"Baldwin County, AL",195443,18.1-20
1003,2014,Alabama,AL,1,"Baldwin County, AL",200111,18.1-20
1005,1999,Alabama,AL,1,"Barbour County, AL",28866,0-2
1005,2000,Alabama,AL,1,"Barbour County, AL",29015,0-2
1005,2001,Alabama,AL,1,"Barbour County, AL",28863,0-2
1005,2002,Alabama,AL,1,"Barbour County, AL",28653,2.1-4
1005,2003,Alabama,AL,1,"Barbour County, AL",28594,2.1-4
1005,2004,Alabama,AL,1,"Barbour County, AL",28287,2.1-4
1005,2005,Alabama,AL,1,"Barbour County, AL",28027,2.1-4
1005,2006,Alabama,AL,1,"Barbour County, AL",27861,2.1-4
1005,2007,Alabama,AL,1,"Barbour County, AL",27757,2.1-4
1005,2008,Alabama,AL,1,"Barbour County, AL",27808,2.1-4
1005,2009,Alabama,AL,1,"Barbour County, AL",27657,4.1-6
1005,2010,Alabama,AL,1,"Barbour County, AL",27336,4.1-6
1005,2011,Alabama,AL,1,"Barbour County, AL",27225,4.1-6
1005,2012,Alabama,AL,1,"Barbour County, AL",27169,4.1-6
1005,2013,Alabama,AL,1,"Barbour County, AL",26978,6.1-8
1005,2014,Alabama,AL,1,"Barbour County, AL",26887,6.1-8
